OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN,GEOID,variable,estimate,moe,geometry
104,004901,11001004901,1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",83,3496,49.2,2,10.6,29,15.7,3.3,10.2,3.2,25.8,0.26029644,0.1175399,0.88246011,68.55567791,35.02468394,0.72977197,0.49503421,HSEIPly_83,NA,{A42F47CB-8A6A-4F3E-9ADA-9D0179F5169F},NA,NA,NA,NA,0,0,11001004901,B19013_001,96932,40199,"list(c(-77.02704, -77.027035, -77.027035, -77.021916, -77.021918, -77.021914, -77.02397, -77.027036, -77.027036, -77.02704, 38.910611, 38.912607, 38.91409, 38.914088, 38.91239, 38.908571, 38.908574, 38.908576, 38.909645, 38.910611))"
106,005303,11001005303,1400000US11001005303,"Census Tract 53.03, District of Columbia, District of Columbia",91,2723,27.2,0.6,13.5,13,3.8,2.2,8.3,2.1,18.8,0.11221371,0.09467108,0.90532892,73.44435098,34.81126443,0.72662043,0.41941707,HSEIPly_91,NA,{DE77BFA0-EA0F-4891-A0D2-58838054530F},NA,NA,NA,NA,0,0,11001005303,B19013_001,97181,9127,"list(c(-77.042977, -77.042051, -77.04167, -77.041667, -77.038486, -77.036518, -77.036518, -77.036524, -77.03618, -77.036185, -77.03653, -77.036924, -77.038495, -77.041676, -77.042716, -77.042649, -77.042977, 38.910142, 38.911128, 38.911534, 38.911128, 38.911126, 38.911124, 38.911011, 38.909642, 38.907345, 38.907132, 38.907021, 38.907242, 38.907925, 38.90903, 38.90939, 38.909643, 38.910142))"
107,000101,11001000101,1400000US11001000101,"Census Tract 1.01, District of Columbia, District of Columbia",1,1250,17.7,6.8,21.8,13,5.2,0,8.5,4.1,19.7,0.18093323,0.28572677,0.71427323,28.79420686,34.60283197,0.50053208,0.34073266,HSEIPly_6,NA,{9FC16F8F-0661-42EB-B2FA-4B6C8F3F1CFD},NA,NA,NA,NA,0,0,11001000101,B19013_001,187839,21283,"list(c(-77.05714, -77.051838, -77.051204, -77.050085, -77.05339, -77.055429, -77.057012, -77.057073, -77.05714, 38.910544, 38.910615, 38.910777, 38.909635, 38.908559, 38.905254, 38.905232, 38.907692, 38.910544))"
108,010601,11001010601,1400000US11001010601,"Census Tract 106.01, District of Columbia, District of Columbia",197,1862,52.9,1.5,0.1,27,13.9,2.8,9.8,2.7,24.4,0.20791226,0.11845312,0.88154688,67.2761457,35.27626989,0.75543156,0.48167191,HSEIPly_197,NA,{FB7EDEE6-670D-4A94-ABA7-6322B3E44F8D},NA,NA,NA,NA,0,0,11001010601,B19013_001,95758,20819,"list(c(-77.009002, -77.009026, -77.009026, -77.005881, -77.005331, -77.00473, -77.002506, -77.003355, -77.005885, -77.009063, -77.009002, 38.907274, 38.910381, 38.910783, 38.90944, 38.909211, 38.908958, 38.908001, 38.905644, 38.905641, 38.905647, 38.907274))"
109,007806,11001007806,1400000US11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",135,2548,96.5,3.4,17.7,49,17.7,2.9,12.4,6.4,36.4,0.47550381,0.25382667,0.74617333,45.29236914,34.6793182,0.57408718,0.5247955,HSEIPly_135,NA,{E142F598-F200-4B31-83E5-A90742DB421E},NA,NA,NA,NA,0,0,11001007806,B19013_001,37697,19028,"list(c(-76.94286, -76.941749, -76.933078, -76.9316368067784, -76.9312514680512, -76.9275575618494, -76.9235292681466, -76.93021, -76.931669, -76.938242, -76.941291, -76.942609, -76.94286, 38.902045, 38.902918, 38.909654, 38.9105519633147, 38.910244618909, 38.9072983762247, 38.9040854275996, 38.903446, 38.903045, 38.902736, 38.902911, 38.901927, 38.902045))"
110,005004,11001005004,1400000US11001005004,"Census Tract 50.04, District of Columbia, District of Columbia",87,4115,55.4,6.1,10.8,42,12.4,6.2,9.1,2.7,23.8,0.27894643,0.11160956,0.88839045,69.23483382,34.59371552,0.68178524,0.48036583,HSEIPly_87,NA,{C0A0BCA4-24E1-4351-8241-30EED8D5CC38},NA,NA,NA,NA,0,0,11001005004,B19013_001,76964,13244,"list(c(-77.030324, -77.029628, -77.028969, -77.028082, -77.027579, -77.027036, -77.027036, -77.027036, -77.027037, -77.02705, -77.029623, -77.02962, -77.029623, -77.029628, -77.030273, -77.030324, 38.909669, 38.910192, 38.909874, 38.910253, 38.909645, 38.909645, 38.908576, 38.90724, 38.905647, 38.903949, 38.904835, 38.905648, 38.90724, 38.909099, 38.909424, 38.909669))"
111,005003,11001005003,1400000US11001005003,"Census Tract 50.03, District of Columbia, District of Columbia",86,1617,42,0,1.7,12,7.5,1.7,9.1,2.7,23.8,0.13786036,0.16972746,0.83027254,69.23483382,34.40632741,0.64435331,0.39110684,HSEIPly_86,NA,{59BDB7D5-7F98-4AF9-885D-BC199AF44894},NA,NA,NA,NA,0,0,11001005003,B19013_001,116250,15922,"list(c(-77.031952, -77.030324, -77.030273, -77.029628, -77.029623, -77.02962, -77.029623, -77.031535, -77.031951, -77.03195, -77.031949, -77.031952, 38.909648, 38.909669, 38.909424, 38.909099, 38.90724, 38.905648, 38.904835, 38.905507, 38.907239, 38.907727, 38.908838, 38.909648))"
112,005203,11001005203,1400000US11001005203,"Census Tract 52.03, District of Columbia, District of Columbia",89,3044,51.8,0,23.4,9,6.3,26.1,8.2,2.2,19.7,0.24954003,0.05701038,0.94298962,74.6282333,34.69550725,0.72638858,0.4879643,HSEIPly_89,NA,{371FDD98-DAD3-4925-A9CE-AF44A3B0E818},NA,NA,NA,NA,0,0,11001005203,B19013_001,74078,14759,"list(c(-77.034566, -77.034564, -77.034557, -77.031952, -77.031949, -77.03195, -77.031951, -77.031535, -77.032125, -77.03237, -77.034568, -77.034566, 38.907244, 38.907934, 38.909649, 38.909648, 38.908838, 38.907727, 38.907239, 38.905507, 38.905305, 38.905794, 38.906558, 38.907244))"
113,005503,11001005503,1400000US11001005503,"Census Tract 55.03, District of Columbia, District of Columbia",94,2256,23.6,5.7,10.2,15,2.7,6.9,8.8,2.9,19.8,0.15769884,0.24428521,0.75571479,67.55272,34.99501967,0.6902948,0.42399682,HSEIPly_94,NA,{53BFA735-85B7-4BC8-88AA-07D8182F6621},NA,NA,NA,NA,0,0,11001005503,B19013_001,173255,106316,"list(c(-77.055429, -77.05339, -77.050085, -77.049341, -77.048797, -77.048806, -77.050101, -77.051407, -77.051408, -77.051416, -77.055953, -77.055429, 38.905254, 38.908559, 38.909635, 38.909635, 38.909634, 38.907238, 38.907246, 38.907243, 38.905261, 38.902977, 38.904549, 38.905254))"
114,010700,11001010700,1400000US11001010700,"Census Tract 107, District of Columbia, District of Columbia",200,1772,33,1.2,12,30,6.2,2.7,9.5,2.2,18.1,0.15935326,0.07168209,0.92831791,88.36209994,34.80299777,0.78231852,0.47083589,HSEIPly_200,NA,{65C7076F-9C72-4BC0-8FCF-634DBD0693CA},NA,NA,NA,NA,0,0,11001010700,B19013_001,89570,52755,"list(c(-77.049603, -77.047479, -77.045684, -77.04391, -77.042716, -77.041676, -77.038495, -77.036924, -77.03653, -77.036534, -77.036542, -77.036546, -77.036554, -77.037955, -77.037947, -77.03946, -77.043462, -77.0449, -77.046653, -77.048831, -77.049566, -77.04946, -77.049603, 38.902884, 38.905309, 38.907242, 38.909145, 38.90939, 38.90903, 38.907925, 38.907242, 38.907021, 38.905654, 38.902525, 38.901344, 38.900201, 38.900202, 38.898747, 38.898813, 38.900202, 38.900705, 38.901318, 38.902088, 38.902175, 
38.902458, 38.902884))"
